Id kategorie;Název kategorie;Maximální cena za proklik
2;Sport/Outdoorové vybavení/Dalekohledy;
4;Foto/Fotoaparáty a videokamery/Digitální fotoaparáty/Digitální kompakty;
5;Foto/Fotoaparáty a videokamery/Digitální fotoaparáty/Digitální zrcadlovky;
6;Foto/Foto doplòky a pøíslušenství/Rámeèky a fotoalba/Digitální fotorámeèky;
7;Foto/Foto doplòky a pøíslušenství/Ochrana fotoaparátù a videokamer/Brašny a pouzdra pro foto a video;
9;Foto/Foto doplòky a pøíslušenství/Baterie a nabíjeèky pro fotoaparáty a videokamery/Akumulátory k fotoaparátùm a videokamerám;
10;Foto/Foto doplòky a pøíslušenství/Blesky;
11;Foto/Foto doplòky a pøíslušenství/Objektivy;
12;Foto/Foto doplòky a pøíslušenství/Pøedsádky, filtry a krytky;
14;Foto/Foto doplòky a pøíslušenství/Stativy a stativové hlavy/Stativy;
17;Foto/Fotoaparáty a videokamery/Analogové fotoaparáty;
18;Poèítaèe/Ukládání dat/Pamìové karty;
22;Elektronika/TV a audio-video/Audio/Auto Hi-Fi/Autorádia;
23;Elektronika/TV a audio-video/Audio/Auto Hi-Fi/Reproduktory do auta;
24;Elektronika/TV a audio-video/Audio/Auto Hi-Fi/Zesilovaèe do auta;
26;Elektronika/TV a audio-video/Audio/Hi-Fi komponenty/AV pøijímaèe;
27;Elektronika/TV a audio-video/Audio/Hi-Fi komponenty/CD pøehrávaèe;
28;Elektronika/TV a audio-video/Audio/Hi-Fi komponenty/Gramofony;
29;Elektronika/TV a audio-video/Audio/Hi-Fi komponenty/Mixání pulty;
31;Elektronika/TV a audio-video/Audio/Hi-Fi komponenty/Tunery;
32;Elektronika/TV a audio-video/Audio/Hi-Fi komponenty/Zesilovaèe;
33;Elektronika/TV a audio-video/Audio/Hi-Fi systémy;
35;Elektronika/TV a audio-video/Audio/Mikrofony;
36;Elektronika/TV a audio-video/Audio/MP3 a MP4 pøehrávaèe;
37;Elektronika/TV a audio-video/Audio/Diktafony;
38;Elektronika/TV a audio-video/Audio/Radiomagnetofony;
39;Elektronika/TV a audio-video/Audio/Radiopøijímaèe a radiobudíky;
40;Elektronika/TV a audio-video/Audio/Reprosoustavy a reproduktory;
41;Elektronika/TV a audio-video/Audio/Sluchátka;
42;Poèítaèe/Ukládání dat/Optická média;
43;Foto/Fotoaparáty a videokamery/Digitální kamery;
44;Elektronika/TV a audio-video/Domácí kina;
