text/html 					html,htm,text/html,php3,php,dhtml
text/plain  				text,txt,c,c++,pl,cc,h
text/sgml 					sgml
text/x-speech				talk
text/css 					css
image/gif					gif
image/x-xbitmap				xbm
image/x-xpixmap				xpm
image/x-png					png
image/ief					ief
image/jpeg					jpeg,jpg,jpe
image/tiff 					tiff,tif
image/rgb					rgb
image/g3fax					g3f
image/x-pict				pict
image/x-portable-pixmap		ppm
image/x-portable-graymap	pgm
image/x-portable-bitmap		pbm
image/x-portable-anymap		pnm
image/x-ms-bmp				bmp
image/x-cmu-raster			ras
image/x-photo-cd			pcd
image/cgm					cgm
image/x-cals				cal
image/fif					fif
image/x-mgx-dsf				dsf
image/x-cmx					cmx
image/wavelet				wi
image/vnd.dwg				dwg
image/vnd.dxf				dxf
image/vnd.svf				svf
audio/x-aiff				aif,aiff,aifc
audio/x-wav					wav
audio/x-mpeg				mpa,abs,mpega
audio/x-mpeg-2				mp2a,mpa2
audio/echospeech			es
audio/voxware				vox
application/fastman			lcc
application/x-pn-realaudio	ra,ram
x-music/x-midi				mid
application/vnd.koan		skp
text/x-speech				talk
video/mpeg					mpeg,mpg,mpe
video/mpeg-2				video,mpv2,mp2v
video/quicktime				qt,mov
video/x-msvideo				avi
video/vdo					vdo
video/vivo					viv
x-conference/x-cooltalk		ice
application/postscript		ai,eps,ps
application/rtf				rtf
application/pdf				pdf
application/vnd.mif			mif
application/x-troff			t,tr,roff
application/x-troff-man		man
application/x-troff-me		me
application/x-troff-ms		ms
application/x-latex			latex
application/x-tex			tex
application/x-texinfo		texinfo,texi
application/x-dvi			dvi
application/msword			doc
application/vnd.openxmlformats-officedocument.wordprocessingml.document			docx
application/envoy			evy
text/javascript				js    
application/x-gtar			gtar
application/x-tar			tar
application/x-bcpio			bcpio
application/x-cpio			cpio
application/x-shar			shar
application/zip				zip
application/mac-binhex40	hqx
application/x-stuffit		sit,sea
application/fractals		fif
application/octet-stream	bin,uu
application/octet-stream	exe
application/x-wais-source	src,wsrc
application/hdf				hdf
text/vbscript				vb,vbs
application/x-sh			sh
application/x-csh			csh
application/x-perl			pl
application/x-tcl			tcl
application/andrew-inset	inset
application/futuresplash	spl
application/mbedlet			mbd
application/mspowerpoint	ppt,ppz
application/astound			asn
application/x-olescript		axs
application/x-oleobject		ods
x-form/x-openscape			opp
application/x-webbasic		wba
application/x-alpha-form	frm
x-script/x-wfxclient		wfx
application/x-pcn			pcn
application/vnd.ms-excel	xls
application/ccv				ccv
x-world/x-vrml				wrl,vrml
x-world/x-vream				vrw
application/x-p3d			p3d
x-world/x-svr				svr
x-world/x-wvr				wvr
x-world/x-3dmf				3dmf
x-model/x-mesh				msh
application/vis5d			v5d
application/iges			igs
drawing/x-dwf				dwf
application/x-showcase		sc,sho,show
application/x-insight		ins,insight
application/x-annotator		ano
application/x-dirview		dir
application/x-enterlicense	lic
application/x-iconbook		icnbk
application/x-inpview		wb
application/x-install		inst
application/x-mailfolder	mail
application/x-ppages		pp
application/x-wingz			wkz
graphics/x-inventor			iv
application/x-shockwave-flash	swf
